english,transcription,russian,mnemonic_list
ticket,['tɪkɪt],билет,"['ЭТИКЕТки эти являются еще и билетами.', 'эТИКЕТ требует иметь билет.', 'билет на спектакль про часы ТИК- Так мне подарили сотрудники', 'билетом в театр будут конфеты ТИК Так', 'на эТИКИТку моржовой шубы повесили билет на отстрел', 'Билет пробил ТИбетский монах в КИЛте']"
bandage,['bændɪʤ],бинт,['БАНДА Желтых повязок']
bandage,['bændɪʤ],бинтовать,['БАНДАЖ - это повязка']
bugle,['bjuːgl],бисер,['БЬЮ ГоЛ - и мне дарят бисер']
battle,['bætl],битва,"['От слова БАТАЛия - битва.', 'БЕй ТеЛевизор сражаясь', 'БАТаЛия идет - сражается народ']"
beat,[biːt],бить,"[""БИ'Т и бить - созвучно."", 'БИТу бить - отбивать', 'БИТь БИТой', 'БИТь биток в ритм', 'БОКСер ударил', 'КИЛь лодки разгрузи, а то будет бить по дну.', 'С КВАРТиры напротив бьёт струя', 'часы били так, что Вася от СТРАха ИКнул', 'сначала американцы разгромят ТРАНСиб']"
struggle,['strʌgl],биться,['это большой СТРАх коГда Люди бьются']
beefsteak,['biːf'steɪk],бифштекс,['Бифштекс – это БИтый СТЕЙК']
scourge,[skɜːʤ],бич,['СКОРО ДЖаз - мены будут хлестать всех плетьми.']
castigate,['kæstɪgeɪt],бичевать,"['КОСТЯ ГЕЙ-То, его надо бичевать.']"
awe,[ɔː],благоговейный,['О! - крикнул от страха']
thank,[θæŋk],благодарить,['Благодарю за поездку в САНКТ- Петербург']
gratitude,"['grætɪt(j)uːd,",благодарность,"['ГРАД ИДЕТ в благодарность за жертву богам', 'Получила благодарность за ГРАЦию']"
glory,['glɔːrɪ],благодать,['ГЛОРИя - это слава']
benevolent,[bɪ'nevələnt],благожелательный,['БА! НЕ ВАЛЕНТин ли совершил этот великодушный поступок']
boon,[buːn],благоприятный,['Какое благо получить в дар благоприятное БУНгало']
prudent,['pruːd(ə)nt],благоразумный,"['в ПРУД заходи осторожно', 'СЕНа СЕБе Ловко подстелил благоразумный Сеня']"
generous,['ʤen(ə)rəs],благородный,['ЖЕНЕ РОЗы щедро подарил']
propitious,[prə'pɪʃəs],благосклонный,"['Недоброжелатель благоприятно и благосклонно отнесся к тому, что человек сказал: “ПРОПИть ЩАС все бы”.']"
bless,[bles],благословлять,"['Да будет благословен БЛЕСк твоих глаз.', 'благословлять БЛЕСтящую пару']"
welfare,['welfeə],благосостояние,['ВЕЛосипед и ФАРА золотые это благосостояние']
benevolence,[bɪ'nevələn(t)s],благотворительность,['сеБЕ НЕ ВОЛЕН Сеня благотворительность простить']
beneficial,[ˌbenɪ'fɪʃ(ə)l],благотворный,"['БАНаны И ФИники благотворны для здоровья', 'Только благотворные люди получат НОБЕЛевскую премию.']"
fragrance,['freɪgrən(t)s],благоухание,['ФРАГменты Садов и благоухающих цветов']
pious,['paɪəs],благочестивый,['ПАЙ-мальчик Сунул пальчик набожной старушке']
bliss,[blɪs],блаженство,"['секты обещают что БЛИЗится счастье', 'БЛИЗ тебя ищу блаженство']"
form,[fɔːm],бланк,['Заполнение бланка – это ФОРмальность']
spew,[spjuː],блевотина,['СПЬЮсти блевотину в унитаз спьюстя 2 часа. Затем еще раз СПЬЮсти воду.']
pale,[peɪl],бледный,"['Он ПЭИЛ (поил) свою лошадь бледной жидкостью.', 'ПЕЛ пока не побледнел', 'бледный ПЕЙЛикан большой как великан', 'бледная ПЕЛена стояла у него перед глазами', 'не ПЕЙ Лишнего, а то бледно выглядеть будешь', 'У тебя бледный ПАЛЕц', ""'Выгоните ВОН бледнолицых из моих прерий', - сказал Чингачгук""]"
brilliance,['brɪlɪən(t)s],блеск,"['БРИЛЛИАНты Сверкают блеском', 'ДА, ЗаЛили Нью-Йорк ослепительным блеском.', 'ДЕЦЛ ослепил меня своим великолепием']"
